date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location,label
5/20/2018,22,14,0,12.4,4,34,11:36 AM,1:37 AM,6:15 AM,9:09 PM,7,17,17,17,10,51,52,0.3,1011,22,10,199,6,83706,1
5/21/2018,23,11,0,14.5,5,41,12:46 PM,2:20 AM,6:14 AM,9:10 PM,9,17,17,17,12,17,64,0.1,1011,23,10,315,8,83706,1
5/22/2018,24,12,0,14.5,5,48,1:56 PM,2:58 AM,6:13 AM,9:11 PM,9,18,18,18,8,12,59,1.3,1010,24,10,242,5,83706,1
5/23/2018,24,14,0,14.5,5,56,3:04 PM,3:31 AM,6:12 AM,9:12 PM,9,19,20,19,12,17,53,0.3,1009,24,10,180,8,83706,1
5/24/2018,26,14,0,14.5,5,63,4:11 PM,4:01 AM,6:11 AM,9:13 PM,9,20,21,20,9,17,52,0,1014,26,10,149,5,83706,0
5/25/2018,28,14,0,14.5,6,70,5:17 PM,4:29 AM,6:11 AM,9:14 PM,8,21,21,21,13,6,47,0.2,1009,28,10,213,8,83706,1
5/26/2018,21,12,0,14.5,5,78,6:21 PM,4:57 AM,6:10 AM,9:14 PM,10,16,17,16,21,21,66,0.9,1010,21,10,158,15,83706,1
5/27/2018,25,10,0,14.5,5,85,7:25 PM,5:27 AM,6:09 AM,9:15 PM,8,16,17,16,24,10,57,0.8,1013,25,10,309,16,83706,1
5/28/2018,25,13,0,14.5,5,92,8:26 PM,5:58 AM,6:08 AM,9:16 PM,10,18,18,18,17,20,59,0.3,1014,25,10,304,11,83706,1
5/29/2018,26,12,0,14.5,5,99,9:26 PM,6:32 AM,6:08 AM,9:17 PM,6,20,20,20,13,2,44,0,1011,26,10,260,8,83706,0
5/30/2018,24,11,0,14.5,5,100,10:22 PM,7:11 AM,6:07 AM,9:18 PM,7,17,18,17,13,6,50,0,1005,24,10,272,8,83706,0
5/31/2018,21,11,0,14.5,5,89,11:14 PM,7:54 AM,6:07 AM,9:19 PM,8,16,16,16,14,15,63,2.1,1005,21,10,278,10,83706,1
6/1/2018,18,6,0,14.5,4,74,No moonrise,8:42 AM,6:06 AM,9:20 PM,2,11,12,11,18,9,52,0,1018,18,10,278,13,83706,0
